Repository,Stars,Merged PR's
freeCodeCamp,373026,20492
free-programming-books,297312,5680
awesome,268276,624
996.ICU,267872,1063
coding-interview-university,264493,372
public-apis,255112,1871
developer-roadmap,250387,1629
system-design-primer,228592,196
build-your-own-x,216208,121
react,212732,9213
vue,205166,1119
awesome-python,179800,535
tensorflow,177432,16193
javascript-algorithms,174838,282
You-Dont-Know-JS,170990,360
Python,168079,2337
CS-Notes,166687,375
bootstrap,165180,8485
ohmyzsh,162088,2938
linux,156979,9
flutter,156473,33022
gitignore,151128,1523
vscode,150843,19475
computer-science,148628,240
Auto-GPT,148029,961
awesome-selfhosted,147519,2395
Python-100-Days,139598,12
the-art-of-command-line,139177,317
JavaGuide,136755,887
javascript,136244,801
youtube-dl,123247,1608
fucking-algorithm,118140,232
30-seconds-of-code,115412,777
project-based-learning,115145,182
go,114116,1
react-native,111615,723
transformers,111371,10438
next.js,111195,13869
electron,109027,17919
awesome-go,107671,3009
the-book-of-secret-knowledge,106615,122
d3,106189,463
free-programming-books-zh_CN,104680,280
axios,101535,756
kubernetes,101434,56236
stable-diffusion-webui,101081,1390
create-react-app,100680,1944
node,97504,6728
PowerToys,95004,4142
tech-interview-handbook,94484,445
three.js,94285,11230
TypeScript,93888,13281
nodebestpractices,92588,761
scrcpy,90655,69
deno,90640,8971
terminal,90229,3348
angular,89992,3428
material-ui,88494,16308
awesome-chatgpt-prompts,88060,105
ant-design,87463,11946
clean-code-javascript,85242,149
rust,85025,49671
puppeteer,84491,3605
vue-element-admin,83861,313
java-design-patterns,83571,1123
storybook,80259,8780
thefuck,79232,481
animate.css,78517,313
realworld,76223,410
papers-we-love,76154,425
models,76090,2304
Web-Dev-For-Beginners,75402,473
HelloGitHub,74734,16
laravel,74584,1509
LeetCodeAnimation,73633,63
django,72883,8367
every-programmer-should-know,72850,98
free-for-dev,72637,2269
svelte,72299,2900
FiraCode,72288,131
Font-Awesome,72182,198
tailwindcss,71731,1834
frp,71530,483
advanced-java,71485,75
gin,71272,941
bitcoin,71231,13240
opencv,71035,11407
pytorch,70473,5459
nvm,69832,690
mall,69682,1
awesome-vue,69415,3438
spring-boot,69213,42
neovim,69158,10652
hugo,68882,2137
Awesome-Hacking,68738,27
json-server,68246,110
iptv,68213,5767
tauri,68173,3311
app-ideas,66736,149
moby,66623,18869
Front-End-Checklist,65987,173
GitHub-Chinese-Top-Charts,65210,0
elasticsearch,65004,57269
netdata,64945,7190
reveal.js,64524,386
flask,64059,1516
godot,64033,28759
swift,63965,44373
webpack,63476,4436
awesome-mac,63239,771
node,62791,51
core,62639,49370
fastapi,62213,1402
code-server,61960,1337
express,61785,269
Chart.js,61649,2905
redis,61371,3439
langchain,61169,4690
protobuf,60690,4306
mermaid,60677,1778
resume.github.com,60640,84
clash_for_windows_pkg,60533,7
interviews,60339,42
awesome-machine-learning,59944,804
redux,59882,1626
the-algorithm,59774,2
stable-diffusion,59728,5
atom,59585,3937
cs-video-courses,59576,130
vite,59365,3574
nest,59351,5463
keras,59140,2872
markdown-here,59136,20
angular.js,59092,789
socket.io,58900,418
github-readme-stats,58771,840
ansible,58466,37199
architect-awesome,58431,49
awesome-react,57906,772
Front-end-Developer-Interview-Questions,57788,449
jquery,57788,640
devops-exercises,57688,244
33-js-concepts,57525,169
nocode,57520,1
awesome-interview-questions,57244,175
lodash,57113,573
grafana,56974,34657
shadowsocks-windows,56929,278
funNLP,56488,14
supabase,56330,6025
echarts,56244,1209
awesome-for-beginners,56081,335
javascript-questions,56009,316
strapi,55851,6800
awesome-public-datasets,55779,188
HowToCook,55730,470
scikit-learn,55629,11006
cpython,55557,35957
Apollo-11,55389,321
yt-dlp,55383,1553
html5-boilerplate,55206,702
gatsby,54707,17928
playwright,54530,11086
excalidraw,54320,3064
hoppscotch,54223,1190
fzf,54164,396
syncthing,54110,2374
superset,54059,11171
element,53644,3229
rails,53438,21914
Java,53424,1079
ML-For-Beginners,53408,351
manim,53209,562
tesseract,53112,1324
design-resources-for-developers,53093,860
spring-framework,53031,787
awesome-nodejs,52639,401
Ventoy,52494,260
leetcode,52328,255
Best-websites-a-programmer-should-visit,52023,375
gpt4all,51795,305
DeepLearning-500-questions,51465,302
react-router,50936,1961
normalize.css,50882,56
Semantic-UI,50740,356
PayloadsAllTheThings,50358,482
tabby,50339,1414
requests,50170,1504
obs-studio,50057,4127
imgui,50054,315
prometheus,49752,5420
caddy,49519,1668
ionic-framework,49489,4944
face_recognition,49244,94
awesome-courses,48996,194
awesome-cpp,48735,570
SecLists,48675,503
material-design-icons,48564,44
alacritty,48461,1614
scrapy,48363,2010
localstack,48346,3831
awesome-flutter,48324,420
guava,48228,374
awesome-scalability,48170,31
you-get,48100,570
moment,47530,712
bulma,47478,605
openai-cookbook,47444,267
docusaurus,47424,4763
nuxt,47301,3603
git,47248,3
awesome-android-ui,47239,90
RxJava,47209,3142
jekyll,47187,3092
anime,46974,72
faceswap,46933,353
d2l-zh,46816,1020
v2rayN,46796,102
hacker-scripts,46758,63
rustdesk,46589,1812
prettier,46549,7507
clash,46383,313
new-pac,46381,0
nerd-fonts,46142,358
kotlin,45666,2053
tldr,45346,8436
big-list-of-naughty-strings,45149,90
DefinitelyTyped,45129,47286
serverless,45126,4469
cypress,44856,5586
chinese-poetry,44699,128
gpt4free,44640,192
rich,44592,715
Real-Time-Voice-Cloning,44572,48
traefik,44509,3841
learn-regex,44480,124
okhttp,44437,3188
etcd,44399,7899
whisper,44215,82
algorithm-visualizer,44204,182
dayjs,44009,666
Ghost,43928,8864
mastodon,43848,12536
awesome-ios,43833,2203
pdf.js,43722,6601
bun,43715,1454
meteor,43705,1934
go-ethereum,43553,6520
awesome-chatgpt-prompts-zh,43414,28
pi-hole,43288,1690
architecture-samples,43106,222
julia,43090,21722
sherlock,43079,524
v2ray-core,43059,203
TensorFlow-Examples,42925,88
act,42893,771
AdminLTE,42890,1408
gogs,42863,1609
Projects,42850,19
bat,42832,1159
gpt-engineer,42737,109
parcel,42665,2189
ChatGPT-Next-Web,42664,377
jest,42633,5216
drawio-desktop,42533,18
babel,42521,5374
ghidra,42470,385
mkcert,42457,52
DeepFaceLab,42333,32
build-web-application-with-golang,42296,757
github-cheat-sheet,42283,129
react,42112,330
