Repository,Stars,Total Releases
freeCodeCamp,373026,0
free-programming-books,297312,0
awesome,268276,0
996.ICU,267872,0
coding-interview-university,264493,0
public-apis,255113,0
developer-roadmap,250387,1
system-design-primer,228592,0
build-your-own-x,216209,0
react,212732,99
vue,205166,245
awesome-python,179801,0
tensorflow,177432,195
javascript-algorithms,174839,0
You-Dont-Know-JS,170991,0
Python,168080,0
CS-Notes,166687,0
bootstrap,165180,87
ohmyzsh,162088,0
linux,156979,0
flutter,156473,2
gitignore,151128,0
vscode,150843,109
computer-science,148628,0
Auto-GPT,148029,18
awesome-selfhosted,147519,1
Python-100-Days,139598,0
the-art-of-command-line,139177,0
JavaGuide,136755,0
javascript,136244,0
youtube-dl,123248,341
fucking-algorithm,118140,1
30-seconds-of-code,115412,5
project-based-learning,115145,0
go,114117,0
react-native,111615,274
transformers,111372,125
next.js,111195,1986
electron,109027,1269
awesome-go,107671,0
the-book-of-secret-knowledge,106615,0
d3,106189,193
free-programming-books-zh_CN,104680,3
axios,101535,61
kubernetes,101434,623
stable-diffusion-webui,101081,16
create-react-app,100680,83
node,97504,353
PowerToys,95004,84
tech-interview-handbook,94485,0
three.js,94285,148
TypeScript,93889,182
nodebestpractices,92588,0
scrcpy,90656,32
deno,90640,241
terminal,90229,93
angular,89991,307
material-ui,88494,423
awesome-chatgpt-prompts,88061,0
ant-design,87463,602
clean-code-javascript,85242,0
rust,85025,115
puppeteer,84491,289
vue-element-admin,83861,49
java-design-patterns,83571,0
storybook,80259,1272
thefuck,79232,17
animate.css,78517,22
realworld,76223,0
papers-we-love,76154,0
models,76090,36
Web-Dev-For-Beginners,75402,0
HelloGitHub,74734,34
laravel,74584,147
LeetCodeAnimation,73633,0
django,72883,0
every-programmer-should-know,72850,0
free-for-dev,72637,0
svelte,72299,13
FiraCode,72288,29
Font-Awesome,72182,52
tailwindcss,71731,213
frp,71530,84
advanced-java,71485,1
gin,71272,25
bitcoin,71231,43
opencv,71035,60
pytorch,70473,45
nvm,69832,64
mall,69682,2
awesome-vue,69415,0
spring-boot,69213,186
neovim,69157,33
hugo,68882,240
Awesome-Hacking,68738,0
json-server,68246,13
iptv,68213,0
tauri,68173,607
app-ideas,66736,0
moby,66623,140
Front-End-Checklist,65987,1
GitHub-Chinese-Top-Charts,65210,0
elasticsearch,65004,118
netdata,64945,69
reveal.js,64524,40
flask,64059,30
godot,64032,49
swift,63965,48
webpack,63476,405
awesome-mac,63239,6
node,62792,15
core,62639,1151
fastapi,62213,166
code-server,61960,120
express,61785,147
Chart.js,61649,106
redis,61371,59
langchain,61170,228
protobuf,60690,140
mermaid,60677,113
resume.github.com,60640,0
clash_for_windows_pkg,60533,207
interviews,60340,0
