Repository,Stars,Last Update (seconds)
freeCodeCamp,373031,76256
free-programming-books,297319,77007
awesome,268279,75615
996.ICU,267872,82719
coding-interview-university,264496,77016
public-apis,255120,76014
developer-roadmap,250391,76677
system-design-primer,228598,76327
build-your-own-x,216219,76923
react,212734,76030
vue,205167,77835
awesome-python,179805,76761
tensorflow,177434,77260
javascript-algorithms,174838,80280
You-Dont-Know-JS,170992,77244
Python,168081,76744
CS-Notes,166687,85811
bootstrap,165180,83238
ohmyzsh,162088,76304
linux,156984,75834
flutter,156474,80341
gitignore,151131,76497
vscode,150851,76768
computer-science,148628,82958
Auto-GPT,148033,77669
awesome-selfhosted,147524,76757
Python-100-Days,139598,9812
the-art-of-command-line,139177,82725
JavaGuide,136755,592
javascript,136245,79805
youtube-dl,123250,75931
fucking-algorithm,118143,77547
30-seconds-of-code,115412,1668
project-based-learning,115146,76612
go,114118,75711
react-native,111615,85681
transformers,111373,76864
next.js,111194,80294
electron,109028,78415
awesome-go,107674,76886
the-book-of-secret-knowledge,106618,76074
d3,106191,80146
free-programming-books-zh_CN,104680,5664
axios,101536,79688
kubernetes,101435,79573
stable-diffusion-webui,101082,80476
create-react-app,100680,3424
node,97505,76389
PowerToys,95005,76750
tech-interview-handbook,94486,76139
three.js,94287,78450
TypeScript,93891,76867
nodebestpractices,92589,80447
scrcpy,90656,80749
deno,90642,75780
terminal,90229,82329
angular,89989,75748
material-ui,88493,75896
awesome-chatgpt-prompts,88065,75938
ant-design,87463,77841
clean-code-javascript,85242,84985
rust,85026,77371
puppeteer,84491,81163
vue-element-admin,83862,79902
java-design-patterns,83571,76233
storybook,80259,82677
thefuck,79232,76244
animate.css,78517,39
realworld,76223,3253
papers-we-love,76154,81346
models,76090,20637
Web-Dev-For-Beginners,75402,83222
HelloGitHub,74734,85791
laravel,74583,78800
LeetCodeAnimation,73633,5572
django,72883,81000
every-programmer-should-know,72851,76227
free-for-dev,72638,75844
svelte,72299,76188
FiraCode,72288,8614
Font-Awesome,72182,4067
tailwindcss,71730,80297
frp,71531,76990
advanced-java,71485,4875
gin,71273,75810
bitcoin,71232,76513
opencv,71035,81043
pytorch,70474,77029
nvm,69833,79072
mall,69682,4556
awesome-vue,69415,12513
spring-boot,69212,76340
neovim,69157,80692
hugo,68884,78834
Awesome-Hacking,68739,76290
json-server,68247,78620
iptv,68215,76767
tauri,68177,75692
app-ideas,66737,76750
moby,66622,76494
Front-End-Checklist,65987,5243
GitHub-Chinese-Top-Charts,65210,4405
elasticsearch,65002,76176
netdata,64947,78103
reveal.js,64524,81504
flask,64061,75806
godot,64034,76951
swift,63965,81131
webpack,63476,81763
awesome-mac,63239,84511
node,62793,76467
core,62640,79018
fastapi,62216,77838
code-server,61962,75712
express,61785,80992
Chart.js,61649,84343
redis,61371,81442
langchain,61174,77222
protobuf,60690,86099
mermaid,60677,84010
resume.github.com,60641,78182
clash_for_windows_pkg,60533,82883
interviews,60340,80558
awesome-machine-learning,59946,78797
redux,59882,33189
the-algorithm,59774,82992
stable-diffusion,59730,80604
atom,59586,77329
cs-video-courses,59576,76302
vite,59367,76570
nest,59351,82574
keras,59140,82196
markdown-here,59136,82285
angular.js,59092,38140
socket.io,58900,21
github-readme-stats,58771,80913
ansible,58469,77085
architect-awesome,58431,7646
awesome-react,57906,75966
Front-end-Developer-Interview-Questions,57788,85689
jquery,57788,7653
devops-exercises,57690,78652
33-js-concepts,57527,79005
nocode,57520,2775
awesome-interview-questions,57244,76300
lodash,57113,85156
grafana,56974,4399
shadowsocks-windows,56929,82182
funNLP,56488,7051
supabase,56335,76432
echarts,56245,77862
awesome-for-beginners,56080,79329
javascript-questions,56009,86244
strapi,55850,79118
awesome-public-datasets,55778,76286
HowToCook,55730,7602
scikit-learn,55632,75891
cpython,55558,78346
Apollo-11,55389,9737
yt-dlp,55385,78778
html5-boilerplate,55206,1191
gatsby,54707,2059
playwright,54531,78409
excalidraw,54320,81168
hoppscotch,54226,75901
fzf,54164,84924
syncthing,54112,76858
superset,54060,77853
element,53644,616
rails,53439,80126
Java,53425,76773
ML-For-Beginners,53409,78519
manim,53211,77049
tesseract,53112,82190
design-resources-for-developers,53094,76259
spring-framework,53031,80163
awesome-nodejs,52639,81751
Ventoy,52495,76035
leetcode,52329,78701
Best-websites-a-programmer-should-visit,52023,82108
gpt4all,51798,77320
DeepLearning-500-questions,51465,11286
react-router,50936,84466
normalize.css,50882,83699
Semantic-UI,50740,12641
PayloadsAllTheThings,50360,79948
tabby,50340,75878
requests,50171,77528
obs-studio,50058,79746
imgui,50054,78035
prometheus,49751,75921
caddy,49519,84381
ionic-framework,49486,77706
face_recognition,49244,83188
awesome-courses,48996,183
awesome-cpp,48736,76562
SecLists,48677,75692
material-design-icons,48564,4442
alacritty,48461,75878
scrapy,48363,2143
faceswap,46933,9506
d2l-zh,46816,83708
v2rayN,46796,905
hacker-scripts,46759,76754
rustdesk,46589,81965
prettier,46549,83085
clash,46383,82980
new-pac,46381,82184
nerd-fonts,46144,76630
kotlin,45666,76017
tldr,45346,81134
DefinitelyTyped,45130,78342
serverless,45127,76507
cypress,44856,85089
chinese-poetry,44699,13187
gpt4free,44643,76779
rich,44592,84161
Real-Time-Voice-Cloning,44573,77842
traefik,44509,82001
learn-regex,44480,5491
okhttp,44437,11936
etcd,44399,9004
whisper,44218,78586
algorithm-visualizer,44204,25321
dayjs,44009,82280
Ghost,43928,15231
mastodon,43849,78259
awesome-ios,43833,1185
pdf.js,43723,80702
bun,43716,76033
meteor,43706,76326
go-ethereum,43553,4379
awesome-chatgpt-prompts-zh,43414,84048
pi-hole,43288,22232
architecture-samples,43107,77537
julia,43092,77249
sherlock,43078,79893
v2ray-core,43059,80408
TensorFlow-Examples,42925,82179
act,42896,76421
AdminLTE,42890,34575
gogs,42863,13389
Projects,42850,6156
bat,42832,84850
gpt-engineer,42742,76416
parcel,42665,23848
ChatGPT-Next-Web,42664,78201
jest,42633,85807
drawio-desktop,42533,2614
babel,42522,79180
ghidra,42472,76421
mkcert,42457,3507
DeepFaceLab,42333,1949
build-web-application-with-golang,42296,11891
github-cheat-sheet,42283,81300
react,42112,5116
awesome-wechat-weapp,41970,4390
retrofit,41955,16998
design-patterns-for-humans,41787,77558
100-Days-Of-ML-Code,41740,82168
leetcode-master,41684,83190
project-layout,41612,5133
rustlings,41560,78070
Microsoft-Activation-Scripts,41538,78039
x64dbg,41525,76174
openpilot,41473,83661
hyper,41441,3902
yolov5,41335,78856
yarn,41261,35281
marktext,41254,84033
git-flight-rules,41244,79337
trackerslist,41159,2961
llama,41105,77192
pixijs,40833,82312
ChatGPT,40819,76792
bypass-paywalls-chrome,40801,78954
gpt_academic,40799,3627
minio,40674,84012
PowerShell,40490,1313
vue2-elm,40332,19413
rclone,40108,84031
core,40046,79125
Motrix,40024,78569
ripgrep,39844,77495
nw.js,39812,12584
Alamofire,39712,80595
pm2,39608,83416
PythonDataScienceHandbook,39475,78550
